county,trump_count,johnson_coutn,clinton_count,stein_count,total_count,trump_per,johnson_per,clinton_per,stein_count
Alameda,95922,16906,514842,17830,645500,14.86,2.62,79.76,2.76
Alpine,217,25,334,21,597,36.35,4.19,55.95,3.52
Amador,10485,804,6004,227,17520,59.85,4.59,34.27,1.30
Butte,45144,4625,41567,2594,93930,48.06,4.92,44.25,2.76
Calaveras,13511,1104,7944,424,22983,58.79,4.80,34.56,1.84
Colusa,3551,260,2661,85,6557,54.16,3.97,40.58,1.30
Contra Costa,115956,16123,319287,8637,460003,25.21,3.50,69.41,1.88
Del Norte,5134,416,3485,245,9280,55.32,4.48,37.55,2.64
El Dorado,49247,5027,36404,1425,92103,53.47,5.46,39.53,1.55
Fresno,124049,9246,141341,4300,278936,44.47,3.31,50.67,1.54
Glenn,5788,375,3065,97,9325,62.07,4.02,32.87,1.04
Humboldt,18373,2163,33200,3681,57417,32.00,3.77,57.82,6.41
Imperial,12704,1221,32667,745,47337,26.84,2.58,69.01,1.57
Inyo,4248,328,3155,214,7945,53.47,4.13,39.71,2.69
Kern,129584,9359,98689,2887,240519,53.88,3.89,41.03,1.20
Kings,18093,1338,13617,411,33459,54.08,4.00,40.70,1.23
Lake,10599,1095,11496,930,24120,43.94,4.54,47.66,3.86
Lassen,7574,473,2224,105,10376,73.00,4.56,21.43,1.01
Los Angeles,769743,88968,2464364,76465,3399540,22.64,2.62,72.49,2.25
Madera,23357,1558,17029,644,42588,54.84,3.66,39.99,1.51
Marin,21771,4180,108707,3109,137767,15.80,3.03,78.91,2.26
Mariposa,5185,326,3122,189,8822,58.77,3.70,35.39,2.14
Mendocino,10888,1331,22079,2108,36406,29.91,3.66,60.65,5.79
Merced,28725,2410,37317,1209,69661,41.24,3.46,53.57,1.74
Modoc,2696,122,877,50,3745,71.99,3.26,23.42,1.34
Mono,2111,222,2773,142,5248,40.22,4.23,52.84,2.71
Monterey,34895,4547,89088,2823,131353,26.57,3.46,67.82,2.15
Napa,17411,2551,39199,1262,60423,28.82,4.22,64.87,2.09
Nevada,23365,2378,26053,2189,53985,43.28,4.40,48.26,4.05
Orange,507148,46128,609961,18068,1181305,42.93,3.90,51.63,1.53
Placer,95138,9245,73509,2501,180393,52.74,5.12,40.75,1.39
Plumas,5420,411,3459,186,9476,57.20,4.34,36.50,1.96
Riverside,333243,24089,373695,11320,742347,44.89,3.24,50.34,1.52
Sacramento,189789,24412,326023,9846,550070,34.50,4.44,59.27,1.79
San Benito,7841,815,12521,364,21541,36.40,3.78,58.13,1.69
San Bernardino,271240,21050,340833,10604,643727,42.14,3.27,52.95,1.65
San Diego,477766,51663,735476,22820,1287725,37.10,4.01,57.11,1.77
San Francisco,37688,8883,345084,9904,401559,9.39,2.21,85.94,2.47
San Joaquin,88936,8049,121124,3134,221243,40.20,3.64,54.75,1.42
San Luis Obispo,56164,6473,67107,2848,132592,42.36,4.88,50.61,2.15
San Mateo,57929,9464,237882,5102,310377,18.66,3.05,76.64,1.64
Santa Barbara,56365,6748,107142,3719,173974,32.40,3.88,61.59,2.14
Santa Clara,144826,25325,511684,12664,694499,20.85,3.65,73.68,1.82
Santa Cruz,22438,4325,95249,4485,126497,17.74,3.42,75.30,3.55
Shasta,51778,3382,22301,1300,78761,65.74,4.29,28.31,1.65
Sierra,1048,98,601,42,1789,58.58,5.48,33.59,2.35
Siskiyou,11341,875,7234,575,20025,56.63,4.37,36.12,2.87
Solano,51920,6254,102360,2771,163305,31.79,3.83,62.68,1.70
Sonoma,51408,8987,160435,7347,228177,22.53,3.94,70.31,3.22
Stanislaus,78494,6662,81647,2562,169365,46.35,3.93,48.21,1.51
Sutter,18176,1437,13076,382,33071,54.96,4.35,39.54,1.16
Tehama,15494,953,6809,290,23546,65.80,4.05,28.92,1.23
Trinity,2812,302,2214,239,5567,50.51,5.42,39.77,4.29
Tulare,58299,3800,47585,1620,111304,52.38,3.41,42.75,1.46
Tuolumne,14551,1101,9123,384,25159,57.84,4.38,36.26,1.53
Ventura,132323,13679,194402,6315,346719,38.16,3.95,56.07,1.82
Yolo,20739,3346,54752,1779,80616,25.73,4.15,67.92,2.21
Yuba,13170,1063,7910,438,22581,58.32,4.71,35.03,1.94
Grand Total,4483810,478500,8753788,278657,13994755,32.04,3.42,62.55,1.99